Sgr-B2M			0.67	-0.04	0.130	0.012	-1.23	0.04	-3.84	0.11	61.0	5.0     22.2	    VLBA	2009ApJ...705.1548R
Sgr-B2N			0.68	-0.03	0.128	0.015	-0.32	0.05	-4.69	0.11	64.0	5.0     22.2	    VLBA	2009ApJ...705.1548R
G009.62+00.19	9.62	0.20	0.194	0.023	-0.58	0.05	-2.49	0.27	5.0	3.1	        12.2	    VLBA	2009ApJ...706..464S
G010.47+00.02	10.47	0.02	0.117	0.008	-3.86	0.02	-6.40	0.08	68.9	4.5     22.2	    VLBA	2014ApJ...781..108S
G010.62-00.38	10.62	-0.38	0.202	0.019	-0.37	0.08	-0.60	0.06	-3.0	2.7     22.2	    VLBA	2014ApJ...781..108S
G011.49−01.48	11.49	-1.48	0.800	0.033	1.42	0.52	-0.60	0.65	11.0	3.0     12.2	    VLBA	2014A&A...566A..17W
G012.02-00.03	12.03	-0.03	0.106	0.008	-4.11	0.02	-7.76	0.27	109.8	2.4	    12.2	    VLBA	2014ApJ...781..108S
G012.68-0.18	12.68	-0.18	0.416	0.028	-1.00	0.30	-2.85	0.29	56.0	4.0	    22	        VLBA	2013A&A...553A.117I
G012.81-0.19	12.81	-0.19	0.343	0.037	-0.60	0.11	-0.99	0.13	36.0	4.0	    22	        VLBA	2013A&A...553A.117I
G012.81-0.19	12.81	-0.19	0.343	0.037	-0.24	0.17	0.54	0.12	-2.0	4.0	    22	        VLBA	2013A&A...553A.117I
G012.88+0.48	12.88	0.48	0.340	0.036	0.12	0.13	-2.66	0.23	32.0	4.0	    22	        VLBA	2013A&A...553A.117I
G012.89+00.49	12.89	0.49	0.428	0.022	0.16	0.03	-1.90	1.59	31.0	7.0	    12.2	    VLBA	2011ApJ...733...25X
G012.90-0.26	12.90	-0.26	0.396	0.032	-0.36	0.08	-2.22	0.13	36.0	4.0	    22	        VLBA	2013A&A...553A.117I
G012.90-0.24	12.90	-0.24	0.408	0.025	0.19	0.08	-2.52	0.32	36.0	4.0	    22	        VLBA	2013A&A...553A.117I
G014.63-00.57	14.63	-0.57	0.546	0.022	0.22	1.20	-2.07	1.20	19.0	5.0	    22	        VLBA	2014A&A...566A..17W
G015.03-00.68	15.03	-0.68	0.505	0.033	0.68	0.05	-1.42	0.09	22.0	3.0	    12.2	    VLBA	2011ApJ...733...25X
G23.0-0.4		23.01	-0.41	0.218	0.017	-1.72	0.04	-4.12	0.30	81.0	3.0	    12.2	    VLBA	2009ApJ...693..424B
G23.4-0.2		23.44	-0.18	0.170	0.032	-1.93	0.10	-4.11	0.07	97.0	3.0	    12.2	    VLBA	2009ApJ...693..424B
G23.6-0.1		23.66	-0.13	0.313	0.039	-1.32	0.02	-2.96	0.03	83.0	3.0	    12.2	    VLBA	2008A&A...490..787B
G023.70-00.19	23.71	-0.20	0.161	0.024	-3.21	0.06	-6.37	0.14	76.5	10.0	12.2	    VLBA	2014ApJ...781..108S
G027.36-00.16	27.36	-0.16	0.125	0.042	-1.81	0.08	-4.11	0.26	92.0	3.0	    12.2	    VLBA	2011ApJ...733...25X
G035.02+00.34	35.02	0.34	0.430	0.040	-0.92	0.90	-3.61	0.90	52.0	5.0	    22	        VLBA	2014A&A...566A..17W
G35.20-0.74	    35.19	-0.74	0.456	0.045	-0.18	0.06	-3.63	0.11	30.0	3.0	    12.2	    VLBA	2009ApJ...693..419Z
G35.20-1.74	    35.20	-1.73	0.306	0.045	-0.71	0.05	-3.61	0.17	42.0	3.0	    12.2	    VLBA	2009ApJ...693..419Z
G037.43+01.51	37.43	1.51	0.532	0.021	-0.45	0.35	-3.69	0.39	41.0	3.0	    12.2,22	    VLBA	2014A&A...566A..17W
W49-N	        43.16	0.01	0.090	0.006	-2.48	0.15	-5.27	0.13	11.0	5.0	    22	        VLBA	2013ApJ...775...79Z
