#LEVEL   ENERGIES(cm^-1)  WEIGHT  J, Ka, Kc
  1         0.000000        1.0      0_0_0
  2        15.508200        3.0      1_0_1
  3        29.808600        3.0      1_1_1
  4        32.496400        3.0      1_1_0
  5        46.173100        5.0      2_0_2
  6        58.126900        5.0      2_1_2
  7        66.184500        5.0      2_1_1
  8        91.330200        7.0      3_0_3
  9       100.390900        7.0      3_1_3
 10       108.926200        5.0      2_2_1
 11       109.269100        5.0      2_2_0
 12       116.461300        7.0      3_1_2
 13       150.156200        9.0      4_0_4
 14       155.389000        7.0      3_2_2
 15       156.382200        9.0      4_1_4
 16       157.064700        7.0      3_2_1
 17       182.983500        9.0      4_1_3
 18       217.041800        9.0      4_2_3
 19       221.836100        9.0      4_2_2
 20       221.946000       11.0      5_0_5
 21       225.864800       11.0      5_1_5
 22       233.023700        7.0      3_3_1
 23       233.051200        7.0      3_3_0
 24       265.236200       11.0      5_1_4
 25       293.636400       11.0      5_2_4
 26       295.487200        9.0      4_3_2
 27       295.677400        9.0      4_3_1
 28       303.994700       11.0      5_2_3
 29       306.314700       13.0      6_0_6
 30       308.615600       13.0      6_1_6
